Employee_ID,Supervisor_Complaints,Peer_Complaints,Years_Experience,Training_Hours,Customer_Satisfaction,Department,Salary_Increment_%
1,high,0,21.0,6.0,8.6,A,6.7
2,medium,0,11.0,3.0,4.1,A,-14.4
3,low,2,5.0,8.0,4.5,A,-16.2
4,medium,0,7.0,21.0,1.8,A,-100.0
5,low,1,23.0,47.0,8.3,A,5.8
6,medium,4,,33.0,2.2,C,
7,none,3,13.0,3.0,2.2,A,-100.0
8,high,1,5.0,0.0,3.8,A,-100.0
9,none,1,10.0,7.0,6.9,A,-1.6
10,medium,0,27.0,35.0,4.7,A,-12.4
11,none,1,19.0,1.0,9.8,A,13.4
12,medium,1,1.0,2.0,9.8,A,15.0
13,high,3,5.0,5.0,5.5,B,-16.2
14,medium,0,9.0,20.0,1.9,A,-100.0
15,none,1,16.0,17.0,9.5,A,12.2
16,high,2,22.0,10.0,1.9,A,-100.0
17,high,4,6.0,50.0,9.4,C,3.1
18,low,3,19.0,4.0,9.5,A,7.4
19,low,2,,49.0,6.4,C,
20,low,4,2.0,23.0,8.4,A,0.7
21,low,0,16.0,24.0,8.3,B,8.8
22,low,4,18.0,17.0,3.6,C,-100.0
23,low,2,8.0,13.0,8.8,C,7.2
24,medium,0,6.0,2.0,1.3,C,-100.0
25,medium,0,1.0,26.0,10.0,C,15.0
26,medium,3,8.0,29.0,8.4,A,2.3
27,none,2,8.0,13.0,9.4,C,9.9
28,medium,2,8.0,5.0,5.9,C,-9.2
29,low,2,17.0,26.0,9.7,C,11.4
30,none,4,5.0,6.0,9.7,A,6.8
31,low,1,3.0,42.0,4.3,B,-14.3
32,none,1,10.0,10.0,3.9,C,-18.1
33,low,0,5.0,10.0,9.5,A,15.0
34,high,4,8.0,22.0,9.6,A,3.7
35,none,2,1.0,3.0,3.2,A,-100.0
36,medium,0,17.0,46.0,9.4,A,14.6
37,none,2,16.0,19.0,8.3,B,3.1
38,medium,2,3.0,12.0,1.5,B,-100.0
39,high,1,1.0,12.0,4.5,A,-16.3
40,low,0,13.0,2.0,3.0,C,-100.0
41,medium,1,10.0,6.0,6.4,A,-4.1
42,high,0,5.0,1.0,3.2,A,-100.0
43,medium,0,15.0,2.0,3.0,C,-100.0
44,high,2,5.0,41.0,7.4,A,-2.9
45,medium,2,4.0,29.0,9.2,A,9.6
46,high,1,8.0,3.0,9.9,C,12.7
47,high,0,9.0,2.0,8.9,A,9.5
48,medium,0,18.0,16.0,2.8,A,-100.0
49,low,3,4.0,3.0,7.9,A,0.1
50,none,0,7.0,2.0,8.5,C,9.9
51,none,0,7.0,10.0,5.5,A,-6.5
52,medium,1,38.0,5.0,8.8,A,6.3
53,medium,1,7.0,21.0,7.5,A,2.4
54,low,1,3.0,21.0,3.6,B,-18.3
55,low,1,6.0,3.0,3.5,A,-19.3
56,low,0,9.0,11.0,9.3,A,14.8
57,none,2,8.0,4.0,8.2,C,3.2
58,medium,3,2.0,5.0,1.4,A,-100.0
59,high,1,9.0,6.0,6.6,A,-5.6
60,low,1,1.0,29.0,5.9,A,-5.4
61,high,2,5.0,2.0,8.2,C,1.1
62,high,3,7.0,1.0,1.9,B,-100.0
63,high,1,15.0,7.0,5.8,A,-10.6
64,medium,0,3.0,2.0,7.0,A,2.3
65,low,1,3.0,7.0,7.1,A,0.8
66,medium,4,6.0,18.0,3.9,A,-100.0
