Employee_ID,Supervisor_Complaints,Peer_Complaints,Years_Experience,Training_Hours,Customer_Satisfaction,Department,Salary_Increment_%
1,medium,1,16.0,20.0,5.0,A,8.5
2,high,1,5.0,11.0,8.3,D,6.2
3,low,0,,4.0,8.2,C,
4,high,0,10.0,17.0,5.1,C,3.2
5,none,0,5.0,5.0,2.9,D,-100.0
6,medium,1,10.0,5.0,3.5,A,-100.0
7,low,2,9.0,2.0,8.5,A,-11.5
8,low,1,10.0,5.0,9.8,A,4.4
9,low,0,4.0,32.0,3.5,A,15.0
10,medium,0,2.0,18.0,9.9,A,15.0
11,low,2,11.0,26.0,5.3,C,15.0
12,high,2,6.0,16.0,7.0,C,7.0
13,medium,1,4.0,2.0,5.8,A,-100.0
14,medium,1,12.0,14.0,2.8,A,-15.8
15,medium,4,39.0,14.0,2.5,A,-100.0
16,low,3,5.0,13.0,9.9,A,15.0
17,high,1,5.0,34.0,3.2,A,15.0
18,none,1,8.0,10.0,4.6,A,-14.1
19,medium,2,7.0,2.0,9.5,C,-6.2
20,low,1,14.0,43.0,9.6,C,15.0
21,low,1,6.0,41.0,6.1,A,15.0
22,high,0,12.0,1.0,7.0,A,-100.0
23,low,3,7.0,19.0,3.7,A,-4.5
24,high,1,5.0,12.0,8.6,A,10.0
25,low,2,6.0,16.0,1.1,C,-100.0
26,low,1,10.0,9.0,9.8,C,12.8
27,low,0,2.0,9.0,10.0,A,15.0
28,medium,0,10.0,0.0,4.8,D,-100.0
29,none,2,9.0,4.0,7.8,A,-11.7
30,low,1,17.0,10.0,8.7,A,8.1
31,medium,1,11.0,11.0,2.9,A,-100.0
32,low,3,8.0,18.0,1.3,B,-19.9
33,low,1,13.0,22.0,3.7,A,6.2
34,high,1,8.0,25.0,9.0,A,15.0
35,low,1,13.0,1.0,9.9,A,-3.8
36,none,3,6.0,14.0,6.6,A,0.5
37,medium,1,11.0,5.0,3.1,A,-100.0
38,low,1,1.0,34.0,6.3,C,15.0
39,medium,1,8.0,3.0,9.6,A,-1.1
40,low,2,10.0,34.0,9.9,A,15.0
41,high,0,15.0,5.0,9.0,C,-1.0
42,low,1,6.0,4.0,8.3,C,-5.6
43,low,1,3.0,2.0,5.3,A,-100.0
44,medium,1,6.0,9.0,5.1,A,-13.0
45,low,5,6.0,10.0,1.5,A,-100.0
46,medium,2,14.0,13.0,2.8,A,-100.0
47,low,2,5.0,32.0,5.8,A,15.0
48,high,1,9.0,1.0,9.3,A,-9.7
49,medium,2,33.0,6.0,9.5,A,-0.3
50,low,3,4.0,16.0,3.8,A,-9.9
51,low,1,19.0,1.0,5.0,A,-100.0
52,low,1,2.0,46.0,8.1,A,15.0
53,medium,1,2.0,6.0,8.1,C,-2.4
54,low,0,9.0,0.0,2.0,C,
55,medium,0,10.0,40.0,2.2,A,15.0
56,low,3,22.0,10.0,6.8,A,-7.8
57,low,1,3.0,0.0,8.0,B,-15.3
58,medium,4,6.0,3.0,6.3,B,-100.0
59,low,4,4.0,8.0,6.1,D,-16.6
60,low,1,5.0,5.0,3.1,C,-100.0
61,low,1,9.0,19.0,8.9,A,15.0
62,medium,0,4.0,12.0,8.4,B,14.1
63,,1,6.0,28.0,10.0,A,15.0
64,medium,1,11.0,18.0,8.0,A,15.0
65,low,0,5.0,18.0,4.4,A,5.0
66,low,2,9.0,5.0,8.8,A,-3.5
67,high,1,6.0,1.0,1.9,A,-100.0
68,high,1,8.0,1.0,8.6,A,-13.4
69,high,0,37.0,15.0,2.8,C,-16.3
70,medium,5,9.0,9.0,8.5,A,-4.6
71,low,1,1.0,2.0,9.7,B,-1.6
72,medium,0,12.0,40.0,1.3,A,15.0
73,none,1,6.0,17.0,6.0,C,8.5
74,none,3,9.0,1.0,8.4,A,-17.2
75,low,1,7.0,2.0,5.3,A,-100.0
76,medium,2,2.0,24.0,9.8,A,15.0
77,low,1,9.0,5.0,9.2,A,1.2
78,low,0,5.0,2.0,3.3,A,-100.0
79,high,2,12.0,8.0,8.4,A,-2.7
80,high,1,18.0,41.0,8.9,C,15.0
81,low,3,6.0,3.0,2.3,B,-100.0
82,none,1,27.0,17.0,8.5,A,15.0
83,high,1,26.0,1.0,9.1,A,-12.5
84,low,2,6.0,5.0,7.6,A,-9.8
85,none,0,22.0,4.0,2.2,B,-100.0
86,high,1,3.0,7.0,6.2,B,-13.5
87,medium,1,5.0,7.0,6.0,C,-12.2
88,low,3,8.0,15.0,3.5,A,-14.1
89,low,3,6.0,3.0,1.2,C,-100.0
90,medium,1,5.0,38.0,1.7,C,15.0
91,medium,0,20.0,4.0,3.7,D,-100.0
92,medium,2,2.0,11.0,8.2,A,6.1
93,high,3,9.0,24.0,9.8,A,15.0
94,medium,2,27.0,1.0,1.3,A,-100.0
95,none,2,9.0,3.0,1.4,A,-100.0
96,high,0,10.0,41.0,9.2,A,15.0
97,high,1,7.0,28.0,2.3,C,8.7
98,high,1,17.0,4.0,,D,
99,low,1,11.0,16.0,3.3,A,-8.4
100,high,1,7.0,17.0,7.5,A,14.2
101,medium,0,5.0,0.0,2.5,C,-100.0
102,low,0,6.0,6.0,4.7,A,-18.7
103,high,0,13.0,34.0,3.0,B,15.0
104,none,2,10.0,14.0,,D,
105,medium,1,17.0,10.0,8.7,B,7.8
106,high,1,5.0,28.0,8.1,A,15.0
107,none,1,8.0,50.0,8.9,C,15.0
108,low,0,8.0,2.0,5.4,A,-100.0
109,medium,1,6.0,39.0,1.7,A,15.0
110,high,2,4.0,10.0,10.0,A,11.1
111,high,1,15.0,40.0,8.1,A,15.0
112,low,2,1.0,12.0,,D,
113,low,0,6.0,0.0,2.6,A,-100.0
114,high,1,1.0,5.0,9.2,C,-1.0
115,low,0,13.0,32.0,8.3,B,15.0
116,high,2,11.0,2.0,9.4,A,-9.7
117,medium,1,7.0,0.0,5.9,A,-100.0
118,low,0,17.0,5.0,7.4,A,-7.0
119,medium,1,6.0,7.0,2.6,A,-100.0
120,,2,21.0,50.0,9.7,A,15.0
121,medium,0,23.0,50.0,4.1,B,15.0
122,high,4,13.0,10.0,9.1,A,0.2
123,low,0,30.0,19.0,3.8,A,1.3
124,none,3,19.0,4.0,2.2,B,-100.0
125,medium,0,7.0,5.0,8.2,B,-2.0
126,high,2,12.0,35.0,2.8,A,15.0
127,high,1,6.0,26.0,5.2,C,15.0
128,high,2,16.0,12.0,8.4,C,5.3
129,low,3,9.0,38.0,1.5,A,15.0
130,low,3,17.0,24.0,8.6,D,15.0
131,high,2,7.0,50.0,2.2,C,15.0
132,low,1,31.0,3.0,1.7,A,-100.0
133,low,1,15.0,8.0,8.3,A,1.9
134,none,1,18.0,11.0,9.6,A,14.5
135,none,0,8.0,29.0,9.4,B,15.0
136,low,1,7.0,9.0,9.6,A,12.0
137,high,4,13.0,6.0,6.4,A,-100.0
138,medium,1,14.0,8.0,5.1,B,-16.0
139,low,1,6.0,3.0,8.8,A,-4.9
140,low,1,25.0,6.0,4.3,A,-100.0
141,high,1,9.0,7.0,8.1,A,-3.7
142,high,0,10.0,6.0,9.2,A,2.7
143,none,3,5.0,30.0,10.0,B,15.0
144,high,1,16.0,8.0,8.8,A,1.6
145,medium,1,3.0,11.0,8.5,A,10.1
146,low,1,3.0,29.0,8.4,C,15.0
147,low,3,11.0,8.0,7.4,A,-7.6
148,medium,2,7.0,0.0,8.2,C,-17.5
149,high,1,10.0,3.0,9.0,A,-7.2
150,medium,1,8.0,2.0,8.9,D,-7.1
151,high,0,8.0,18.0,5.0,A,5.0
152,low,0,14.0,1.0,9.4,A,-4.1
153,low,0,22.0,19.0,1.4,C,-11.1
154,high,1,3.0,2.0,5.1,A,-100.0
155,medium,3,9.0,15.0,7.3,A,6.3
156,medium,2,1.0,8.0,,D,
157,low,2,14.0,1.0,9.7,B,-7.5
158,low,1,4.0,5.0,3.6,A,-100.0
159,medium,2,3.0,23.0,8.4,C,15.0
160,medium,2,13.0,18.0,8.2,C,15.0
161,high,2,1.0,37.0,8.3,C,15.0
162,medium,5,10.0,21.0,3.7,A,-6.0
163,medium,3,32.0,3.0,3.1,C,-100.0
164,high,1,,0.0,3.3,C,
165,none,0,8.0,11.0,7.3,C,5.3
166,low,3,3.0,4.0,1.3,A,-100.0
167,none,2,15.0,12.0,7.8,A,4.5
168,medium,0,19.0,13.0,2.9,B,-15.6
169,high,2,4.0,10.0,5.3,A,-14.8
170,low,1,3.0,24.0,1.7,A,0.4
171,none,1,3.0,9.0,2.2,C,-100.0
172,low,1,5.0,40.0,4.0,A,15.0
173,low,4,3.0,21.0,1.3,A,-15.6
174,medium,1,8.0,4.0,9.0,B,-2.3
175,medium,4,2.0,2.0,8.8,C,-14.5
176,low,2,5.0,3.0,5.2,A,-100.0
177,high,4,8.0,21.0,3.1,A,-9.2
178,high,2,11.0,31.0,1.7,A,8.8
179,medium,3,6.0,15.0,2.7,A,-18.7
180,low,0,8.0,4.0,5.6,A,-18.1
181,high,0,7.0,20.0,8.6,A,15.0
182,high,1,15.0,12.0,6.0,A,-5.3
183,low,0,11.0,50.0,8.1,A,15.0
184,high,1,40.0,6.0,4.5,A,-100.0
185,medium,2,6.0,1.0,8.9,A,-11.5
186,low,1,14.0,3.0,5.2,A,-100.0
187,low,2,8.0,1.0,2.2,A,-100.0
188,low,1,8.0,2.0,7.0,A,-17.1
189,medium,1,6.0,24.0,3.8,A,11.3
190,low,2,6.0,13.0,3.8,C,-13.9
191,low,2,2.0,13.0,4.2,A,-11.3
192,medium,2,10.0,11.0,3.7,C,-19.4
193,low,1,8.0,1.0,9.3,A,-6.6
194,none,2,5.0,1.0,8.5,A,-13.8
195,none,2,16.0,33.0,9.8,A,15.0
196,medium,4,7.0,17.0,2.6,A,-17.6
197,high,0,11.0,7.0,3.1,A,-100.0
198,high,3,4.0,8.0,2.6,B,-100.0
199,medium,2,7.0,1.0,8.3,A,-14.8
200,medium,1,11.0,12.0,8.5,A,11.4
201,medium,2,12.0,12.0,3.2,A,-100.0
202,medium,3,2.0,0.0,8.3,A,-18.9
203,low,1,14.0,8.0,9.4,A,8.1
204,high,1,36.0,7.0,8.5,A,-4.2
205,low,1,5.0,2.0,5.8,A,-100.0
206,high,0,2.0,21.0,6.7,A,15.0
207,medium,2,6.0,5.0,9.6,A,0.8
208,high,1,6.0,19.0,6.2,A,11.4
209,high,1,10.0,24.0,7.3,C,15.0
210,low,0,,2.0,2.3,C,
211,none,1,6.0,4.0,1.6,C,-100.0
212,high,1,10.0,1.0,3.6,A,-100.0
