Employee_ID,Supervisor_Complaints,Peer_Complaints,Years_Experience,Training_Hours,Customer_Satisfaction,Department,Salary_Increment_%
1,high,0,8.0,13.0,8.1,A,-7.9
2,none,1,19.0,36.0,2.5,C,-100.0
3,low,0,8.0,13.0,3.1,C,-100.0
4,none,1,2.0,2.0,2.1,C,-100.0
5,medium,0,9.0,2.0,9.0,A,-2.1
6,low,1,6.0,3.0,9.8,A,5.4
7,medium,1,11.0,8.0,8.6,A,-10.3
8,none,4,3.0,1.0,6.9,D,-13.4
9,low,2,14.0,12.0,2.3,A,-100.0
10,high,2,17.0,3.0,6.4,A,-100.0
11,low,2,5.0,31.0,1.5,C,-100.0
12,medium,2,5.0,8.0,3.8,C,-100.0
13,,2,10.0,2.0,2.0,B,-100.0
14,high,3,2.0,6.0,4.8,C,-100.0
15,medium,3,7.0,0.0,8.8,C,-7.2
16,low,2,7.0,34.0,9.3,A,-1.3
17,low,0,2.0,10.0,7.2,A,0.7
18,low,3,2.0,18.0,8.5,A,0.4
19,high,1,4.0,7.0,9.5,A,4.3
20,high,0,6.0,0.0,8.5,C,-2.3
21,high,0,29.0,19.0,4.2,C,-100.0
22,low,1,3.0,4.0,3.1,C,-100.0
23,high,3,12.0,1.0,8.1,C,-100.0
24,high,2,10.0,4.0,8.1,A,-16.4
25,medium,1,11.0,28.0,2.6,A,-100.0
26,medium,2,12.0,12.0,9.1,C,-11.7
27,none,1,9.0,17.0,2.2,A,-100.0
28,medium,0,3.0,34.0,2.2,B,-100.0
29,medium,0,20.0,23.0,7.4,C,-100.0
30,high,0,8.0,1.0,10.0,B,2.5
31,none,0,13.0,34.0,2.7,A,-100.0
32,high,2,1.0,6.0,5.5,A,-15.0
33,low,1,9.0,4.0,9.1,A,-3.7
34,low,1,7.0,8.0,7.2,A,-10.6
35,low,2,7.0,12.0,8.9,A,-3.7
36,medium,1,17.0,11.0,8.2,A,-100.0
37,low,0,6.0,9.0,6.6,A,-9.6
38,low,0,12.0,27.0,9.7,A,-2.9
39,medium,2,8.0,2.0,9.2,D,-4.3
40,none,1,11.0,34.0,8.7,A,-9.7
41,low,2,3.0,10.0,7.2,B,-6.1
42,high,0,6.0,7.0,8.4,A,-2.8
43,none,2,1.0,7.0,9.9,A,11.6
44,low,2,14.0,21.0,2.3,C,-100.0
45,high,0,6.0,17.0,3.5,A,-100.0
46,high,1,23.0,12.0,6.4,A,-100.0
47,high,4,13.0,8.0,8.2,A,-100.0
48,low,1,6.0,10.0,8.7,A,-0.6
49,none,0,5.0,21.0,9.6,A,8.1
50,none,1,1.0,11.0,3.2,A,-100.0
51,high,1,6.0,5.0,6.1,C,-17.9
52,,1,18.0,28.0,3.4,A,-100.0
53,high,1,4.0,4.0,1.7,A,-100.0
54,high,1,10.0,9.0,3.5,C,-100.0
55,none,1,6.0,8.0,5.2,A,-100.0
56,medium,2,3.0,9.0,9.8,A,7.8
57,low,1,1.0,1.0,8.7,A,8.1
58,high,0,3.0,24.0,1.2,C,-100.0
59,high,0,6.0,3.0,10.0,A,
60,high,2,15.0,5.0,6.0,B,-100.0
61,medium,3,10.0,13.0,8.1,A,-16.2
62,high,1,18.0,14.0,4.6,A,-100.0
63,low,1,4.0,26.0,7.9,A,-1.3
64,medium,1,8.0,2.0,8.3,A,-6.7
65,none,1,4.0,2.0,8.1,A,-1.1
66,medium,1,1.0,20.0,8.5,C,6.8
67,,2,15.0,35.0,3.4,A,-100.0
68,high,1,12.0,17.0,3.7,A,-100.0
69,low,2,10.0,0.0,8.3,C,-12.4
70,low,0,9.0,4.0,7.6,A,-9.4
71,none,1,8.0,47.0,8.8,C,-3.8
72,low,1,4.0,4.0,4.4,C,-100.0
73,high,1,2.0,41.0,3.5,A,-100.0
74,medium,1,4.0,37.0,1.6,A,-100.0
75,high,2,21.0,4.0,2.8,B,-100.0
76,none,0,3.0,10.0,3.8,A,-100.0
77,none,3,15.0,1.0,2.2,A,-100.0
78,medium,2,9.0,7.0,8.6,A,-9.3
79,,2,6.0,8.0,6.8,A,-14.1
80,medium,2,5.0,16.0,2.8,A,-100.0
81,high,2,12.0,3.0,1.5,A,-100.0
82,medium,0,6.0,4.0,9.5,B,5.9
83,low,3,3.0,4.0,9.8,A,5.7
84,medium,1,7.0,4.0,8.3,A,-5.0
85,low,1,2.0,9.0,8.8,A,7.0
86,high,0,13.0,26.0,5.5,A,-100.0
87,high,1,1.0,6.0,5.8,B,-10.8
88,medium,1,3.0,4.0,7.5,A,-2.4
89,low,1,4.0,8.0,1.4,A,-100.0
90,high,1,8.0,5.0,7.6,B,-13.2
91,low,1,11.0,0.0,2.0,A,-100.0
92,low,3,9.0,14.0,9.9,A,-4.2
93,low,0,15.0,4.0,10.0,C,-6.7
94,high,2,4.0,13.0,9.6,A,2.4
95,medium,0,3.0,3.0,8.7,A,6.7
96,high,3,3.0,17.0,9.6,A,1.7
97,low,0,8.0,20.0,7.8,A,-6.4
98,medium,2,5.0,5.0,5.0,A,-100.0
99,high,1,14.0,10.0,9.7,C,-12.1
100,low,1,8.0,8.0,6.6,B,-15.6
101,medium,2,3.0,0.0,8.1,A,-1.6
102,low,1,3.0,32.0,6.7,A,-6.1
103,low,2,9.0,12.0,8.5,A,-9.4
104,low,2,3.0,20.0,9.6,C,7.2
105,low,0,17.0,6.0,6.8,A,-100.0
106,high,1,4.0,7.0,8.1,C,-3.4
107,high,0,9.0,0.0,8.1,A,-9.7
108,low,2,10.0,2.0,9.0,C,-8.5
109,low,1,2.0,2.0,1.9,A,-100.0
110,high,2,13.0,11.0,9.2,A,-15.6
111,high,1,16.0,13.0,9.6,A,-16.1
112,none,1,5.0,7.0,6.3,C,-12.7
113,,2,6.0,6.0,9.3,C,-0.4
114,none,1,16.0,9.0,7.1,A,-100.0
115,medium,2,5.0,1.0,4.0,A,-100.0
116,high,3,3.0,7.0,7.0,A,-12.7
117,medium,1,1.0,35.0,3.5,A,-100.0
118,high,2,8.0,3.0,7.2,B,-17.9
119,low,6,14.0,9.0,5.5,A,-100.0
120,medium,3,6.0,27.0,9.9,A,0.8
121,high,3,16.0,17.0,6.9,A,-100.0
122,high,3,5.0,19.0,2.9,A,-100.0
123,low,0,8.0,6.0,9.1,B,0.6
124,high,1,,11.0,7.1,C,
125,high,0,10.0,1.0,8.9,A,-7.1
126,none,0,17.0,6.0,8.3,A,-100.0
127,low,3,3.0,8.0,8.3,A,-2.5
128,low,0,22.0,11.0,5.1,B,-100.0
129,high,5,19.0,8.0,6.4,C,-100.0
130,medium,2,17.0,16.0,6.3,A,-100.0
131,high,3,3.0,4.0,9.2,C,-0.6
132,low,3,8.0,20.0,6.9,C,-18.9
133,high,1,3.0,6.0,,D,
134,low,2,13.0,28.0,8.1,A,-18.4
135,low,1,21.0,2.0,9.7,A,-100.0
136,low,1,7.0,13.0,9.9,C,4.3
137,medium,3,12.0,20.0,9.1,B,-14.1
138,low,1,3.0,10.0,9.6,A,9.6
139,medium,3,22.0,16.0,3.1,A,-100.0
140,high,1,13.0,1.0,3.6,C,-100.0
141,high,1,17.0,5.0,8.4,A,-100.0
142,high,0,33.0,13.0,5.6,A,-100.0
143,medium,1,13.0,13.0,9.3,A,-9.9
144,low,0,10.0,15.0,9.1,A,-2.8
145,medium,0,20.0,7.0,6.0,A,-100.0
146,low,1,15.0,36.0,6.7,C,-100.0
147,medium,3,10.0,4.0,4.4,A,-100.0
148,medium,1,13.0,9.0,5.1,A,-100.0
149,medium,1,3.0,22.0,8.2,C,1.7
150,high,1,11.0,8.0,4.7,A,-100.0
151,medium,2,22.0,6.0,8.9,C,-100.0
152,none,2,13.0,12.0,4.5,A,-100.0
153,low,1,5.0,14.0,4.8,A,-100.0
154,medium,2,15.0,2.0,6.1,A,-100.0
155,none,2,6.0,24.0,8.1,C,-6.8
156,low,2,9.0,3.0,8.5,A,-9.5
157,high,2,32.0,1.0,9.8,A,-100.0
158,,1,3.0,1.0,9.7,A,9.5
159,high,0,22.0,12.0,7.8,A,-100.0
160,medium,0,6.0,1.0,3.1,A,-100.0
161,low,2,20.0,12.0,8.4,A,-100.0
162,high,1,4.0,11.0,2.2,B,-100.0
163,medium,0,7.0,6.0,9.7,A,5.3
164,none,0,7.0,5.0,3.7,A,-100.0
165,none,0,5.0,2.0,4.4,A,-100.0
166,medium,0,11.0,45.0,5.6,A,-100.0
167,high,2,5.0,5.0,3.4,C,-100.0
168,medium,0,1.0,9.0,8.7,A,10.3
169,low,1,12.0,7.0,7.8,A,-16.1
170,low,2,3.0,7.0,7.2,A,-6.1
171,low,1,10.0,1.0,8.2,C,-10.4
172,low,2,16.0,9.0,8.2,C,-100.0
173,high,1,11.0,39.0,5.5,A,-100.0
174,medium,2,5.0,6.0,5.0,A,-100.0
175,high,1,2.0,4.0,8.7,A,3.4
176,medium,2,8.0,6.0,3.1,A,-100.0
177,low,3,4.0,27.0,9.3,C,1.4
178,high,1,6.0,22.0,8.0,B,-7.3
179,low,3,16.0,24.0,9.6,A,-18.0
180,high,0,5.0,17.0,8.2,B,-2.0
181,high,1,0.0,1.0,5.6,B,-10.2
182,medium,0,4.0,8.0,2.0,A,-100.0
183,low,0,15.0,5.0,1.7,A,-100.0
184,medium,0,13.0,1.0,7.0,A,
185,low,1,1.0,3.0,3.0,A,-100.0
186,low,2,7.0,4.0,9.0,A,-3.2
187,medium,4,10.0,8.0,9.9,D,-8.9
188,low,1,9.0,7.0,8.9,B,-4.8
189,none,2,4.0,2.0,1.7,A,-100.0
190,low,4,12.0,14.0,2.9,A,-100.0
191,low,1,,7.0,3.7,C,
192,medium,1,2.0,9.0,7.8,A,1.1
193,high,4,2.0,6.0,7.1,C,-12.9
194,low,3,3.0,34.0,5.1,A,-19.9
195,medium,1,18.0,21.0,9.0,C,-100.0
196,none,1,22.0,1.0,7.5,A,-100.0
197,high,0,10.0,22.0,6.1,A,-100.0
198,high,0,11.0,0.0,8.5,A,-11.0
199,high,0,10.0,10.0,1.3,C,-100.0
200,,4,14.0,19.0,3.8,A,-100.0
201,low,1,4.0,1.0,8.1,A,-0.5
202,high,2,11.0,5.0,1.8,C,-100.0
203,low,1,20.0,1.0,3.5,A,-100.0
204,medium,4,11.0,44.0,4.0,A,-100.0
205,medium,1,7.0,22.0,9.6,C,2.4
206,high,3,4.0,14.0,3.5,B,-100.0
207,low,0,1.0,6.0,7.1,A,1.8
208,none,1,1.0,4.0,7.6,A,1.5
209,high,3,25.0,3.0,6.3,C,-100.0
210,medium,1,4.0,4.0,4.2,A,-100.0
211,medium,3,15.0,12.0,5.8,A,-100.0
212,high,0,8.0,11.0,2.8,C,-100.0
213,none,1,7.0,2.0,8.7,C,-3.0
214,low,1,19.0,8.0,2.3,A,-100.0
215,low,3,26.0,3.0,5.5,A,-100.0
216,medium,1,20.0,12.0,5.6,C,-100.0
217,low,1,10.0,3.0,8.4,B,-9.3
218,low,4,4.0,24.0,9.0,A,-2.8
219,none,2,4.0,8.0,8.7,A,-0.2
220,none,1,10.0,11.0,4.4,A,-100.0
221,medium,1,8.0,18.0,3.9,C,-100.0
222,low,3,29.0,0.0,8.7,B,-100.0
223,low,4,,7.0,9.1,C,
224,high,0,,19.0,9.2,C,
225,high,2,5.0,4.0,1.7,A,-100.0
226,high,1,9.0,14.0,8.6,A,-9.3
227,high,1,12.0,31.0,9.8,A,-7.8
228,high,2,12.0,25.0,3.7,C,-100.0
229,high,3,16.0,17.0,9.0,A,-100.0
230,medium,2,10.0,24.0,6.5,A,-100.0
231,high,3,1.0,0.0,9.7,A,5.6
232,high,1,21.0,11.0,7.8,B,-100.0
233,low,1,7.0,2.0,9.0,A,-0.8
234,high,1,10.0,25.0,6.1,A,-100.0
235,high,0,1.0,10.0,1.2,C,-100.0
236,high,2,9.0,36.0,9.9,A,-4.5
237,high,2,18.0,26.0,4.5,C,-100.0
238,none,3,19.0,0.0,4.0,A,-100.0
239,low,2,11.0,46.0,5.9,A,-100.0
240,high,2,20.0,2.0,9.1,A,-100.0
241,low,0,5.0,25.0,5.7,C,-12.7
242,high,1,11.0,6.0,1.7,A,-100.0
243,low,0,8.0,3.0,1.4,A,-100.0
244,medium,2,6.0,6.0,8.6,A,-4.0
245,low,2,4.0,7.0,3.2,B,-100.0
246,medium,2,5.0,9.0,8.2,A,-4.5
247,low,3,4.0,50.0,2.2,A,-100.0
248,medium,3,11.0,7.0,5.5,A,-100.0
249,medium,2,14.0,3.0,1.3,A,-100.0
250,low,1,15.0,13.0,7.6,A,-100.0
251,high,2,14.0,9.0,6.0,A,-100.0
252,high,2,9.0,0.0,9.2,C,-8.7
253,medium,2,0.0,4.0,7.0,A,-2.4
254,high,3,15.0,21.0,9.1,A,-100.0
255,none,1,4.0,13.0,8.6,A,1.8
256,high,4,18.0,2.0,9.6,C,-100.0
257,low,1,7.0,11.0,3.4,B,-100.0
258,medium,3,3.0,6.0,2.2,A,-100.0
259,none,2,3.0,5.0,9.7,A,7.0
260,medium,0,14.0,2.0,9.9,A,-5.9
261,none,2,11.0,1.0,6.7,A,-100.0
262,high,2,10.0,11.0,9.6,A,-8.1
263,none,0,0.0,11.0,9.5,A,15.0
264,low,3,19.0,9.0,8.6,A,-100.0
265,medium,2,3.0,0.0,8.6,B,1.2
266,low,3,11.0,9.0,1.3,A,-100.0
267,medium,0,12.0,1.0,8.9,A,-7.9
268,high,2,6.0,4.0,2.6,A,-100.0
269,low,0,18.0,15.0,10.0,A,-11.9
270,medium,5,15.0,9.0,3.3,A,-100.0
271,high,3,16.0,1.0,1.1,C,-100.0
272,none,0,14.0,3.0,9.3,A,-9.4
273,low,0,2.0,41.0,1.3,D,-100.0
274,high,3,5.0,9.0,2.8,C,-100.0
275,high,1,8.0,7.0,9.3,C,-3.8
276,high,1,14.0,11.0,8.2,A,-100.0
277,none,2,17.0,9.0,9.7,A,-17.4
278,low,2,15.0,22.0,7.1,A,-100.0
279,low,2,12.0,1.0,3.2,C,-100.0
280,high,1,4.0,18.0,9.5,A,4.4
281,none,2,12.0,6.0,6.4,B,-100.0
282,low,5,6.0,4.0,2.9,A,-100.0
283,medium,2,2.0,1.0,2.5,C,-100.0
284,medium,1,5.0,6.0,2.2,B,-100.0
285,high,0,7.0,12.0,6.2,A,-16.6
286,none,0,1.0,3.0,9.4,D,13.8
287,medium,0,5.0,4.0,2.3,A,-100.0
288,none,0,4.0,14.0,6.3,A,-8.3
289,medium,0,18.0,30.0,6.9,A,-100.0
