Employee_ID,Supervisor_Complaints,Peer_Complaints,Years_Experience,Training_Hours,Customer_Satisfaction,Department,Salary_Increment_%
1,medium,0,15.0,3.0,4.6,A,-100.0
2,medium,0,8.0,11.0,7.2,A,-15.7
3,low,0,17.0,10.0,8.2,A,-100.0
4,low,4,7.0,2.0,8.1,C,-100.0
5,low,2,5.0,13.0,8.5,D,-14.4
6,high,3,23.0,4.0,3.8,A,-100.0
7,medium,0,5.0,50.0,8.6,B,-9.3
8,medium,2,2.0,35.0,9.5,B,-8.8
9,medium,1,5.0,6.0,8.1,A,-12.5
10,medium,1,10.0,15.0,2.1,A,-100.0
11,none,1,8.0,12.0,4.2,A,-19.9
12,medium,2,2.0,24.0,9.6,A,-8.9
13,none,3,9.0,18.0,4.1,A,-100.0
14,none,0,3.0,50.0,1.5,A,-9.6
15,medium,4,4.0,29.0,4.1,A,-100.0
16,medium,1,5.0,0.0,8.7,C,-12.3
17,high,2,10.0,5.0,8.3,C,-100.0
18,low,3,23.0,3.0,6.7,A,-100.0
19,low,0,16.0,50.0,2.0,A,-100.0
20,none,0,15.0,4.0,4.3,A,-100.0
21,low,2,19.0,16.0,8.5,A,-100.0
22,low,2,4.0,9.0,9.1,A,-12.4
23,medium,0,3.0,6.0,9.7,C,-5.7
24,medium,2,2.0,0.0,9.1,A,-9.3
25,none,1,1.0,39.0,3.5,A,-7.7
26,low,1,9.0,5.0,9.5,C,-18.5
27,medium,3,23.0,38.0,9.2,C,-100.0
28,medium,0,6.0,0.0,7.7,A,-12.0
29,low,0,22.0,8.0,3.3,A,-100.0
30,none,2,19.0,16.0,6.9,B,-100.0
31,high,0,10.0,8.0,9.8,C,-100.0
32,medium,0,6.0,2.0,8.1,C,-11.8
33,none,1,11.0,5.0,7.0,A,-100.0
34,none,1,5.0,50.0,2.9,A,-14.9
35,high,1,5.0,5.0,8.9,B,-14.8
36,medium,3,3.0,12.0,3.4,A,-16.3
37,none,2,10.0,45.0,3.3,C,-100.0
38,high,3,19.0,50.0,8.1,A,-100.0
39,high,0,10.0,9.0,7.1,C,-100.0
40,medium,2,6.0,2.0,7.8,A,-17.0
41,medium,2,21.0,9.0,2.2,C,-100.0
42,low,3,5.0,2.0,9.2,A,-16.7
43,medium,2,34.0,20.0,6.0,C,-100.0
44,medium,2,7.0,30.0,9.5,A,-17.6
45,medium,2,5.0,25.0,7.2,C,-15.3
46,medium,1,13.0,15.0,8.1,A,-100.0
47,high,0,10.0,8.0,9.1,B,-100.0
48,low,1,6.0,5.0,9.0,C,-13.5
49,medium,1,5.0,22.0,2.5,C,-15.2
50,low,1,6.0,26.0,9.9,A,-12.8
51,low,1,17.0,0.0,3.9,A,-100.0
52,low,3,15.0,6.0,3.2,A,-100.0
53,medium,1,9.0,35.0,8.9,A,-18.8
54,medium,0,8.0,11.0,3.3,A,-17.6
55,medium,2,2.0,21.0,8.3,A,-9.5
56,low,2,1.0,7.0,5.1,A,-9.1
57,low,2,13.0,2.0,3.0,A,-100.0
58,none,1,9.0,9.0,5.2,A,-100.0
59,high,2,5.0,14.0,9.6,B,-16.8
60,low,0,10.0,17.0,4.8,A,-20.0
61,high,2,1.0,14.0,4.1,A,-12.6
62,medium,0,7.0,50.0,3.1,C,-15.6
63,medium,3,15.0,2.0,6.8,D,-100.0
64,medium,1,16.0,3.0,7.9,A,-100.0
65,high,3,4.0,25.0,3.9,A,-100.0
66,low,1,5.0,0.0,2.3,A,-15.1
67,none,2,12.0,10.0,8.9,A,-100.0
68,medium,3,24.0,1.0,4.7,A,-100.0
69,medium,2,13.0,1.0,9.5,C,-100.0
70,none,1,7.0,48.0,8.4,A,-15.7
71,low,2,10.0,50.0,9.2,C,-100.0
72,high,2,4.0,6.0,3.6,A,-18.2
73,high,2,14.0,6.0,9.9,C,-100.0
74,none,4,,1.0,3.7,C,
75,high,1,20.0,2.0,9.2,A,-100.0
76,high,1,5.0,17.0,8.9,B,-14.7
77,none,1,3.0,7.0,9.6,A,-8.5
78,medium,5,8.0,0.0,8.6,B,-100.0
79,medium,1,5.0,0.0,3.1,A,-15.1
80,low,0,14.0,7.0,7.1,D,-100.0
81,high,0,6.0,26.0,2.2,A,-17.2
82,medium,1,7.0,18.0,1.6,A,-19.2
83,low,1,,12.0,8.4,C,
84,high,2,7.0,5.0,8.7,A,-100.0
85,high,1,3.0,0.0,4.8,A,-13.4
86,medium,1,4.0,12.0,3.4,C,-13.1
87,low,1,8.0,32.0,9.5,C,-16.5
88,medium,2,12.0,1.0,9.6,C,-100.0
89,medium,2,10.0,2.0,9.6,A,-100.0
90,none,2,17.0,1.0,4.9,A,-100.0
91,low,0,4.0,14.0,9.7,C,-7.0
92,high,1,11.0,20.0,9.6,A,-100.0
93,medium,2,8.0,15.0,6.1,A,-100.0
94,low,4,11.0,0.0,8.9,A,-100.0
95,none,1,10.0,3.0,5.5,B,-100.0
96,medium,2,17.0,3.0,9.0,A,-100.0
97,high,2,24.0,0.0,9.5,A,-100.0
98,low,2,7.0,13.0,9.9,C,-17.2
99,low,0,9.0,38.0,3.6,A,-18.6
100,low,2,9.0,5.0,3.8,A,-100.0
101,low,0,5.0,9.0,6.6,C,-10.4
102,medium,2,16.0,17.0,3.0,A,-100.0
103,high,1,9.0,16.0,5.4,C,-100.0
104,low,2,4.0,2.0,6.2,A,-13.9
105,medium,1,10.0,7.0,5.2,C,-100.0
106,high,0,29.0,9.0,9.4,A,-100.0
107,none,2,15.0,2.0,1.9,B,-100.0
108,medium,0,12.0,5.0,8.4,A,-100.0
109,high,2,14.0,1.0,1.9,A,-100.0
110,medium,2,2.0,10.0,2.6,A,-12.5
111,medium,0,4.0,22.0,2.4,D,-11.0
112,medium,3,6.0,14.0,6.0,A,-100.0
113,high,1,5.0,40.0,8.4,A,-14.7
114,medium,0,1.0,35.0,8.5,A,-2.5
115,low,1,2.0,2.0,,C,
116,high,0,8.0,17.0,1.7,A,-100.0
117,medium,1,12.0,6.0,2.6,A,-100.0
118,low,3,5.0,3.0,1.6,A,-100.0
119,high,0,5.0,6.0,2.6,A,-15.4
120,low,2,9.0,46.0,10.0,A,-100.0
121,high,2,1.0,0.0,5.8,A,-11.9
122,high,2,18.0,15.0,1.3,A,
123,high,1,4.0,7.0,9.7,A,-12.6
124,none,2,8.0,3.0,1.3,A,-100.0
125,low,2,13.0,2.0,9.5,A,-100.0
126,low,2,1.0,6.0,9.3,C,-7.1
127,,3,9.0,7.0,9.9,C,-100.0
128,none,2,18.0,4.0,2.5,D,-100.0
129,high,2,12.0,12.0,9.5,A,-100.0
130,low,1,2.0,16.0,1.2,C,-10.3
131,medium,1,2.0,8.0,3.1,A,-9.8
132,medium,0,16.0,3.0,3.8,A,-100.0
133,high,1,3.0,25.0,1.8,A,-14.6
134,low,0,7.0,4.0,8.2,A,-13.1
135,low,1,18.0,3.0,8.2,A,-100.0
136,,3,6.0,7.0,3.5,A,-100.0
137,none,1,10.0,14.0,8.7,A,-100.0
138,low,2,7.0,1.0,8.9,A,-17.8
139,low,3,8.0,24.0,9.1,C,-100.0
140,high,3,9.0,11.0,9.2,A,-100.0
141,low,2,20.0,3.0,6.8,A,-100.0
