Employee_ID,Supervisor_Complaints,Peer_Complaints,Years_Experience,Training_Hours,Customer_Satisfaction,Department,Salary_Increment_%
1,none,0,3.0,11.0,8.6,A,15.0
2,high,0,8.0,1.0,2.2,C,-100.0
3,none,1,11.0,5.0,1.6,C,-100.0
4,medium,1,21.0,1.0,7.4,A,-11.8
5,high,0,21.0,34.0,8.7,A,15.0
6,high,1,5.0,7.0,3.9,A,-19.5
7,medium,1,8.0,1.0,1.4,A,-100.0
8,none,1,6.0,0.0,8.2,A,-8.2
9,high,0,7.0,11.0,5.0,A,-5.1
10,medium,1,3.0,12.0,1.9,B,-17.1
11,high,0,10.0,6.0,4.2,A,-100.0
12,none,4,10.0,15.0,9.1,C,15.0
13,high,1,17.0,37.0,7.6,C,15.0
14,high,0,3.0,4.0,3.6,A,-100.0
15,high,4,11.0,0.0,4.6,C,-100.0
16,high,1,25.0,3.0,1.4,A,-100.0
17,high,4,8.0,2.0,8.7,A,-4.2
18,medium,2,5.0,2.0,8.9,A,0.1
19,high,2,3.0,1.0,4.5,A,-100.0
20,low,0,10.0,4.0,2.9,C,-100.0
21,low,2,17.0,19.0,3.3,A,4.1
22,low,5,4.0,12.0,6.1,A,5.8
23,high,1,11.0,10.0,3.0,C,-18.7
24,high,1,4.0,7.0,5.0,A,-13.3
25,medium,1,11.0,2.0,8.8,A,-1.0
26,low,2,5.0,6.0,9.1,A,9.9
27,low,2,13.0,16.0,3.4,A,-1.2
28,low,2,12.0,12.0,8.7,B,15.0
29,low,1,24.0,7.0,1.5,C,-100.0
30,high,0,5.0,3.0,9.8,A,4.7
31,medium,1,24.0,8.0,1.1,C,-100.0
32,high,1,12.0,18.0,1.3,A,-11.4
33,high,3,7.0,4.0,2.6,A,-100.0
34,high,3,15.0,32.0,2.8,A,15.0
35,low,0,13.0,14.0,5.1,C,4.1
36,medium,0,2.0,20.0,4.4,A,13.6
37,medium,2,3.0,7.0,8.2,A,6.9
