Employee_ID,Supervisor_Complaints,Peer_Complaints,Years_Experience,Training_Hours,Customer_Satisfaction,Department,Salary_Increment_%
1,high,2,24.0,6.0,4.4,C,-100.0
2,medium,1,6.0,1.0,2.9,B,-100.0
3,none,2,10.0,50.0,9.7,B,15.0
4,low,1,4.0,8.0,7.1,A,6.3
5,high,1,19.0,9.0,2.0,A,-100.0
6,low,2,15.0,13.0,9.7,D,15.0
7,high,3,6.0,10.0,1.8,A,-100.0
8,high,3,7.0,50.0,9.2,A,15.0
9,high,1,3.0,9.0,6.3,C,-100.0
10,medium,0,4.0,1.0,6.9,A,-11.2
11,,1,4.0,4.0,2.5,A,-100.0
12,high,1,12.0,11.0,5.6,A,-100.0
13,medium,3,13.0,22.0,2.6,C,8.0
14,low,1,10.0,26.0,1.5,A,12.8
15,high,2,16.0,1.0,7.4,A,-100.0
16,medium,3,6.0,1.0,1.4,C,-100.0
17,medium,2,6.0,36.0,9.2,A,15.0
18,medium,0,18.0,11.0,4.9,A,-2.6
19,medium,2,12.0,3.0,9.8,A,7.9
20,low,0,7.0,7.0,1.5,A,-100.0
21,medium,0,8.0,1.0,5.2,B,-100.0
22,low,2,8.0,3.0,4.2,C,-100.0
23,medium,0,7.0,4.0,1.5,A,-100.0
24,low,3,16.0,2.0,8.9,A,2.3
25,high,1,19.0,7.0,8.6,D,-100.0
26,high,1,5.0,36.0,9.5,D,15.0
27,low,1,18.0,22.0,2.1,A,6.8
28,none,0,7.0,13.0,1.6,A,-100.0
29,low,1,1.0,23.0,3.8,A,15.0
30,none,0,,4.0,8.3,C,
31,none,1,5.0,3.0,6.5,A,-19.5
32,medium,2,18.0,4.0,9.7,A,8.9
33,none,0,15.0,20.0,1.9,A,-10.1
34,medium,3,2.0,3.0,4.7,A,-19.2
35,low,2,2.0,35.0,5.8,A,15.0
36,high,1,4.0,3.0,5.9,A,-100.0
37,low,0,6.0,3.0,9.8,A,10.6
38,high,0,32.0,50.0,9.7,A,15.0
39,none,2,1.0,6.0,,D,
40,low,0,9.0,0.0,4.2,B,-100.0
41,high,2,12.0,2.0,4.2,A,-100.0
42,medium,1,14.0,6.0,5.6,C,-9.0
43,high,1,8.0,3.0,5.3,A,-100.0
44,high,2,13.0,19.0,9.4,C,5.1
45,low,1,10.0,8.0,9.7,C,15.0
46,high,1,20.0,25.0,2.8,A,-19.2
47,medium,3,5.0,4.0,9.9,C,11.2
48,low,2,3.0,25.0,9.8,A,15.0
49,medium,3,5.0,12.0,9.5,D,15.0
50,high,1,11.0,6.0,8.6,A,-100.0
51,medium,1,13.0,1.0,9.7,C,3.2
52,medium,1,3.0,20.0,6.3,A,15.0
53,low,3,16.0,6.0,8.1,A,6.2
54,high,1,24.0,11.0,9.3,B,-13.2
55,high,0,3.0,14.0,9.4,A,-4.2
56,high,2,10.0,13.0,8.9,A,-10.0
57,high,1,16.0,2.0,9.8,A,-100.0
58,high,2,15.0,6.0,9.7,A,-100.0
59,high,1,20.0,50.0,3.1,C,15.0
60,high,2,11.0,22.0,2.5,C,-100.0
61,low,0,27.0,23.0,8.3,A,15.0
62,low,1,10.0,50.0,9.6,A,15.0
63,low,1,14.0,5.0,8.8,A,8.4
64,low,2,10.0,3.0,3.7,B,-100.0
65,medium,4,9.0,4.0,2.3,A,-100.0
66,high,0,3.0,45.0,5.9,A,15.0
67,high,2,2.0,5.0,1.6,A,-100.0
68,none,2,3.0,14.0,6.4,C,3.1
69,low,4,14.0,3.0,3.0,A,-100.0
70,high,1,1.0,3.0,2.1,A,-100.0
71,low,3,5.0,1.0,9.7,B,5.6
72,low,1,14.0,8.0,3.9,C,-12.2
73,medium,3,9.0,6.0,7.0,B,-1.0
74,high,2,5.0,1.0,10.0,D,-100.0
75,high,0,9.0,14.0,1.9,A,-100.0
76,low,0,3.0,39.0,9.8,A,15.0
77,high,3,5.0,4.0,8.9,A,-100.0
78,medium,2,5.0,22.0,6.8,A,15.0
79,high,1,10.0,2.0,6.4,D,-100.0
80,high,4,6.0,2.0,1.4,A,-100.0
81,low,2,22.0,7.0,8.9,A,12.2
82,low,2,7.0,8.0,9.4,C,15.0
83,none,2,13.0,3.0,5.0,C,-100.0
84,medium,1,4.0,2.0,7.4,A,-6.5
85,low,0,9.0,3.0,3.3,A,-100.0
86,medium,2,10.0,15.0,7.9,A,15.0
87,medium,3,,15.0,7.1,C,
88,high,3,9.0,9.0,3.3,B,-100.0
89,high,1,7.0,48.0,9.8,C,15.0
90,high,2,5.0,2.0,2.3,B,-100.0
91,none,1,8.0,46.0,8.0,B,15.0
92,none,1,14.0,39.0,9.7,A,15.0
93,high,0,8.0,2.0,8.4,A,-100.0
94,medium,0,14.0,3.0,9.3,A,5.2
95,,1,14.0,2.0,8.8,A,-9.9
96,medium,1,13.0,28.0,2.6,A,15.0
97,none,2,6.0,10.0,9.8,A,13.1
98,low,2,26.0,17.0,7.5,A,15.0
99,high,2,,2.0,7.1,C,
100,none,2,22.0,5.0,3.7,D,-100.0
101,low,1,6.0,0.0,2.3,A,-100.0
102,low,2,2.0,7.0,8.4,A,11.5
103,medium,1,3.0,0.0,2.7,B,-100.0
104,none,1,20.0,0.0,5.6,A,-100.0
105,none,0,4.0,43.0,9.4,A,15.0
106,high,3,19.0,4.0,1.0,A,-100.0
107,high,2,3.0,2.0,3.6,A,-100.0
108,none,1,5.0,10.0,5.7,A,-9.2
109,medium,3,11.0,3.0,8.1,A,-1.4
110,low,2,9.0,3.0,7.9,A,-0.3
111,high,3,17.0,9.0,2.1,D,-100.0
112,high,0,12.0,7.0,1.1,C,-100.0
113,high,2,13.0,15.0,3.4,A,-100.0
114,none,1,8.0,17.0,3.6,A,-6.4
115,medium,1,22.0,1.0,7.2,A,-11.5
116,low,0,6.0,0.0,6.7,A,-12.8
117,low,0,16.0,5.0,7.7,A,2.2
118,low,4,20.0,13.0,6.9,A,13.8
119,high,1,8.0,18.0,1.5,A,-100.0
120,medium,3,5.0,7.0,9.2,A,13.6
121,low,4,5.0,19.0,3.4,B,8.7
122,low,2,20.0,2.0,9.4,A,4.7
123,low,0,8.0,15.0,6.8,A,15.0
124,none,1,3.0,3.0,8.4,A,-8.9
