Employee_ID,Supervisor_Complaints,Peer_Complaints,Years_Experience,Training_Hours,Customer_Satisfaction,Department,Salary_Increment_%
1,high,2,1.0,15.0,9.0,A,15.0
2,low,0,5.0,8.0,2.0,B,-100.0
3,high,1,,13.0,9.2,C,
4,medium,4,16.0,50.0,8.6,A,15.0
5,none,4,2.0,21.0,9.4,A,15.0
6,low,4,15.0,10.0,9.9,A,-3.2
7,high,3,20.0,11.0,5.1,A,-100.0
8,medium,0,7.0,12.0,2.3,A,-100.0
9,medium,0,32.0,0.0,2.5,A,-100.0
10,none,0,22.0,46.0,3.0,A,15.0
11,low,2,13.0,11.0,8.6,A,-4.6
12,,2,2.0,1.0,5.0,A,-100.0
13,medium,0,16.0,4.0,8.2,A,-100.0
14,low,3,9.0,11.0,2.1,C,-100.0
15,high,0,13.0,2.0,2.2,A,-100.0
16,medium,3,1.0,10.0,3.8,C,-12.6
17,low,0,10.0,11.0,9.8,A,7.5
18,high,0,21.0,13.0,8.3,C,-18.8
19,medium,1,8.0,2.0,5.6,C,-100.0
20,none,5,6.0,18.0,2.3,C,-13.2
21,none,1,12.0,32.0,2.9,C,9.4
22,high,0,8.0,1.0,1.5,A,-100.0
23,none,1,7.0,2.0,9.6,A,-8.0
24,none,1,3.0,10.0,8.4,D,9.2
25,high,1,10.0,5.0,8.9,A,-13.2
26,low,3,8.0,18.0,9.6,A,15.0
27,high,1,6.0,21.0,8.2,A,15.0
28,low,3,5.0,10.0,6.0,A,-7.1
29,low,1,12.0,17.0,6.0,C,-4.4
30,,3,2.0,6.0,3.5,A,-100.0
31,low,1,13.0,24.0,,D,
32,medium,1,17.0,8.0,4.1,A,-100.0
33,low,1,1.0,9.0,1.2,A,-100.0
34,none,2,1.0,17.0,4.3,C,4.8
35,low,1,6.0,13.0,9.9,A,15.0
36,none,3,13.0,21.0,7.7,C,10.8
37,none,2,14.0,4.0,4.4,B,-100.0
38,,2,7.0,9.0,9.1,A,3.9
39,none,1,9.0,2.0,5.0,C,-100.0
40,high,0,18.0,2.0,3.1,C,-100.0
41,medium,2,16.0,29.0,8.8,A,15.0
42,low,2,8.0,2.0,6.2,A,-100.0
43,medium,1,5.0,14.0,9.2,A,15.0
44,none,3,3.0,3.0,1.8,A,-100.0
45,high,2,17.0,26.0,2.4,A,-17.2
46,none,2,5.0,11.0,8.0,A,5.5
47,low,0,9.0,3.0,1.5,A,-100.0
48,medium,2,4.0,19.0,1.5,B,-11.5
49,low,3,7.0,1.0,1.2,A,-100.0
50,,4,24.0,21.0,8.9,A,-2.0
51,high,3,13.0,0.0,9.8,B,-100.0
52,medium,3,2.0,6.0,6.4,A,-8.4
53,medium,1,6.0,7.0,2.2,A,-100.0
54,none,1,7.0,1.0,6.1,A,-100.0
55,high,2,3.0,2.0,4.2,A,-100.0
56,medium,1,6.0,3.0,9.0,A,-7.2
57,low,1,2.0,8.0,3.8,C,-17.9
58,low,1,9.0,16.0,9.6,B,15.0
59,medium,1,2.0,39.0,2.7,B,15.0
60,high,2,11.0,18.0,2.9,A,-100.0
61,none,1,6.0,17.0,1.2,A,-100.0
62,none,0,10.0,1.0,8.6,C,-100.0
63,high,0,5.0,19.0,1.7,A,-14.5
64,medium,4,2.0,8.0,1.2,A,-100.0
65,high,0,11.0,8.0,1.6,A,-100.0
66,high,1,3.0,9.0,8.6,A,5.8
67,,0,24.0,8.0,5.1,A,-100.0
68,low,1,9.0,11.0,9.5,A,7.5
69,low,2,15.0,12.0,8.8,D,-4.9
70,low,4,14.0,28.0,4.9,A,8.8
71,low,2,3.0,28.0,6.5,C,15.0
72,low,1,40.0,50.0,7.4,A,15.0
73,high,1,4.0,8.0,3.7,A,-100.0
74,high,2,12.0,8.0,6.7,A,-100.0
75,low,2,7.0,4.0,3.0,C,-100.0
76,high,0,13.0,7.0,8.2,A,-18.0
77,medium,0,13.0,32.0,8.2,A,15.0
78,medium,0,4.0,7.0,8.6,A,2.6
79,none,1,10.0,5.0,2.4,A,-100.0
80,high,0,9.0,11.0,1.9,B,-100.0
81,medium,0,19.0,18.0,7.8,A,-5.0
82,none,3,10.0,9.0,8.2,B,-6.4
83,none,2,8.0,11.0,3.2,A,-100.0
84,medium,2,5.0,18.0,9.5,A,15.0
85,medium,0,6.0,14.0,8.8,A,14.9
86,medium,2,9.0,10.0,9.2,A,3.2
87,,1,5.0,17.0,8.4,A,15.0
88,low,0,18.0,12.0,4.4,A,-100.0
89,high,2,3.0,0.0,8.1,A,-15.9
90,none,3,7.0,13.0,2.5,A,-100.0
91,high,1,4.0,14.0,3.2,B,-15.1
92,none,2,11.0,5.0,8.6,C,-14.3
93,medium,2,9.0,6.0,4.8,C,-100.0
94,medium,1,18.0,6.0,9.7,A,-18.1
95,low,0,11.0,10.0,5.5,C,-100.0
96,low,0,15.0,9.0,8.3,A,-13.7
97,low,1,3.0,4.0,8.4,C,-2.8
98,high,1,8.0,13.0,2.7,B,-100.0
99,low,2,3.0,29.0,5.6,A,15.0
100,high,0,40.0,21.0,1.2,A,-100.0
101,high,0,21.0,6.0,9.2,A,-100.0
102,low,3,5.0,10.0,2.5,C,-100.0
103,medium,4,8.0,21.0,9.4,A,15.0
104,high,0,7.0,9.0,8.1,C,-3.8
105,high,2,6.0,11.0,8.0,C,1.4
106,low,4,6.0,2.0,5.8,C,-100.0
107,medium,1,14.0,25.0,1.6,C,-15.7
108,low,0,8.0,15.0,8.5,A,12.2
109,low,0,5.0,4.0,7.7,A,-10.0
110,medium,2,7.0,4.0,8.1,A,-11.9
111,medium,1,2.0,22.0,2.6,A,4.5
112,medium,1,2.0,2.0,,C,
113,high,1,17.0,4.0,1.5,D,-100.0
114,low,1,9.0,8.0,4.4,A,-100.0
115,none,2,9.0,12.0,8.7,B,4.5
116,high,1,3.0,4.0,2.1,A,-100.0
117,medium,1,3.0,0.0,1.4,A,-100.0
118,medium,3,13.0,20.0,8.8,A,14.9
119,high,1,8.0,16.0,8.5,A,11.2
120,high,2,8.0,11.0,9.4,A,5.6
121,none,1,6.0,17.0,10.0,A,15.0
122,medium,1,7.0,21.0,8.2,A,15.0
123,high,2,5.0,2.0,2.1,C,-100.0
124,low,1,9.0,28.0,9.6,A,15.0
125,medium,0,17.0,18.0,7.0,B,-5.8
126,high,2,13.0,3.0,3.0,B,-100.0
127,none,1,5.0,1.0,9.0,A,-9.9
128,medium,1,3.0,8.0,5.4,C,-11.3
129,low,1,14.0,23.0,8.4,A,15.0
130,medium,3,6.0,16.0,9.9,A,15.0
131,low,4,5.0,4.0,9.3,C,-1.6
132,low,1,6.0,4.0,3.2,A,-100.0
133,low,4,24.0,1.0,10.0,A,-100.0
134,low,2,16.0,12.0,4.1,A,-100.0
135,medium,1,5.0,23.0,3.8,A,7.9
136,low,2,3.0,12.0,5.1,A,-4.2
137,,0,8.0,2.0,9.6,C,-9.6
138,medium,3,4.0,4.0,1.4,A,-100.0
139,medium,2,4.0,11.0,4.5,A,-11.8
140,low,0,5.0,4.0,8.4,B,-6.2
141,low,1,18.0,17.0,3.7,D,-100.0
142,low,1,5.0,4.0,6.6,A,-16.2
143,high,0,2.0,3.0,5.3,A,-100.0
144,low,2,7.0,14.0,8.2,A,10.0
145,medium,1,10.0,3.0,4.6,A,-100.0
146,medium,0,8.0,9.0,4.6,D,-100.0
147,high,2,24.0,1.0,9.3,A,-100.0
148,none,0,2.0,6.0,2.3,B,-100.0
149,low,0,4.0,16.0,1.8,C,-15.5
150,low,3,14.0,2.0,7.8,A,-100.0
151,none,1,20.0,4.0,1.1,C,-100.0
152,high,3,4.0,3.0,8.7,A,-8.2
153,none,2,4.0,29.0,3.4,A,15.0
