Employee_ID,Supervisor_Complaints,Peer_Complaints,Years_Experience,Training_Hours,Customer_Satisfaction,Department,Salary_Increment_%
1,low,1,10.0,5.0,4.0,A,-7.0
2,low,0,22.0,7.0,9.3,A,15.0
3,low,1,3.0,41.0,8.7,C,15.0
4,low,1,26.0,6.0,8.2,A,14.5
5,high,2,10.0,20.0,9.7,A,-11.7
6,low,3,1.0,8.0,1.1,C,-100.0
7,low,1,8.0,16.0,3.5,A,-9.5
8,high,1,19.0,1.0,3.5,A,-100.0
9,medium,2,10.0,8.0,9.6,D,15.0
10,high,1,14.0,11.0,9.3,A,-14.2
11,low,2,6.0,10.0,2.7,A,-13.9
12,low,3,13.0,5.0,6.3,A,5.1
13,high,0,2.0,4.0,4.3,D,-100.0
14,medium,1,5.0,1.0,7.8,A,12.4
15,low,0,7.0,8.0,4.6,A,-3.3
16,none,0,3.0,10.0,9.0,A,9.3
17,high,0,12.0,3.0,5.7,A,-100.0
18,low,1,16.0,44.0,8.4,A,15.0
19,low,3,7.0,14.0,8.5,D,15.0
20,medium,1,32.0,17.0,9.0,C,15.0
21,none,1,11.0,5.0,6.0,A,-8.1
22,high,0,16.0,23.0,8.0,B,-100.0
23,high,1,12.0,13.0,9.0,C,-15.7
24,medium,2,4.0,8.0,9.6,A,15.0
25,none,3,2.0,18.0,8.2,B,4.8
26,low,0,11.0,8.0,5.1,A,-1.0
27,medium,2,11.0,37.0,2.6,A,-16.5
28,low,0,18.0,19.0,8.4,A,15.0
29,medium,2,6.0,5.0,3.2,A,-13.0
30,low,0,12.0,3.0,1.6,C,-100.0
31,high,1,16.0,8.0,9.3,A,-14.5
32,medium,0,6.0,28.0,4.3,C,-6.5
33,high,3,1.0,5.0,3.9,C,-100.0
34,none,0,5.0,7.0,9.6,A,12.4
35,low,1,13.0,3.0,3.7,D,-9.0
36,high,2,19.0,28.0,7.2,C,-100.0
37,low,2,5.0,9.0,3.1,A,-11.6
38,low,1,5.0,17.0,9.8,A,15.0
39,medium,3,10.0,4.0,9.7,A,15.0
40,medium,1,7.0,19.0,8.7,A,15.0
41,low,0,15.0,1.0,10.0,A,15.0
42,medium,2,14.0,3.0,3.6,A,-11.6
43,high,0,3.0,5.0,6.8,A,-100.0
44,low,0,4.0,12.0,5.6,B,2.5
45,high,1,14.0,49.0,9.3,A,-13.9
46,low,0,17.0,3.0,8.9,C,15.0
47,none,1,18.0,3.0,8.3,A,3.8
48,high,2,6.0,9.0,3.1,A,-100.0
49,high,0,5.0,5.0,3.5,C,-100.0
