Player_ID,Player_Type,Account_Age_Days,Device_Type,Region_Server,Days_Since_Last_Login,Login_Count_Last_7D,Matches_Played_Last_7D,Total_Play_Minutes_Last_7D,Reward_Points_Earned_Last_7D,Friend_Invites_Sent_Last_7D,Tutorial_Completed_Flag,Avg_Load_Time_Sec_Last_7D,Crash_Count_Last_7D,Special_Event_Participation_Last_7D,Number_Of_Topup_7D
1,non-whale,since_beta,android,EU,19.0,5.0,3.0,29.0,137.0,0.0,1.0,2.67,0.0,0.0,1.0
2,non-whale,new_account,android,NA,14.0,5.0,12.0,97.0,163.0,0.0,0.0,2.9,0.0,0.0,0.0
3,non-whale,since_beta,ios,SEA,6.0,15.0,36.0,238.0,978.0,3.0,1.0,2.39,0.0,0.0,1.0
4,non-whale,since_beta,ios,NA,4.0,14.0,27.0,139.0,276.0,0.0,,2.54,0.0,0.0,1.0
5,non-whale,established,ios,SEA,19.0,3.0,7.0,63.0,142.0,2.0,1.0,3.73,1.0,0.0,0.0
6,non-whale,established,android,SEA,10.0,3.0,6.0,73.0,29.0,0.0,1.0,3.63,0.0,1.0,0.0
7,non-whale,veteran,android,SEA,3.0,2.0,5.0,61.0,177.0,0.0,0.0,2.52,0.0,0.0,0.0
8,non-whale,new_account,ios,EU,10.0,2.0,12.0,107.0,268.0,0.0,1.0,2.78,0.0,0.0,1.0
9,non-whale,veteran,ios,EU,2.0,13.0,29.0,281.0,426.0,0.0,1.0,2.88,0.0,1.0,4.0
10,non-whale,veteran,android,EU,1.0,8.0,28.0,287.0,1173.0,0.0,1.0,2.83,0.0,0.0,2.0
11,non-whale,veteran,ios,SEA,16.0,6.0,10.0,84.0,79.0,0.0,1.0,2.68,0.0,0.0,0.0
12,non-whale,new_account,android,SEA,2.0,6.0,8.0,165.0,434.0,0.0,1.0,3.8,0.0,0.0,1.0
13,whale,veteran,android,EU,3.0,15.0,49.0,441.0,1240.0,3.0,1.0,1.87,0.0,1.0,3.0
14,non-whale,since_beta,ios,SEA,5.0,6.0,5.0,54.0,53.0,0.0,1.0,3.06,0.0,1.0,1.0
15,non-whale,since_beta,android,SEA,23.0,5.0,7.0,26.0,67.0,1.0,0.0,3.93,0.0,0.0,0.0
16,non-whale,established,ios,NA,16.0,3.0,9.0,66.0,80.0,0.0,1.0,3.12,0.0,0.0,0.0
17,non-whale,veteran,android,SEA,24.0,1.0,8.0,90.0,14.0,0.0,1.0,3.82,0.0,0.0,0.0
18,non-whale,established,ios,NA,4.0,8.0,28.0,230.0,502.0,3.0,1.0,2.73,0.0,1.0,0.0
19,non-whale,veteran,ios,SEA,14.0,3.0,8.0,82.0,162.0,1.0,1.0,3.84,0.0,0.0,0.0
20,non-whale,established,ios,EU,8.0,4.0,4.0,79.0,25.0,0.0,1.0,3.29,0.0,0.0,1.0
