Employee_ID,Supervisor_Complaints,Peer_Complaints,Years_Experience,Training_Hours,Customer_Satisfaction,Department,Salary_Increment_%
1,medium,1,11.0,28.0,6.5,A,15.0
2,medium,1,9.0,1.0,2.0,C,-100.0
3,low,2,24.0,9.0,8.7,C,-100.0
4,high,0,11.0,4.0,9.6,A,-100.0
5,none,2,9.0,1.0,6.3,B,-100.0
6,none,1,7.0,3.0,3.6,B,-100.0
7,medium,4,3.0,2.0,8.4,A,-19.2
8,high,2,2.0,15.0,8.1,A,7.3
9,low,3,21.0,0.0,3.8,A,-100.0
10,medium,2,13.0,16.0,7.6,C,-7.5
11,medium,0,23.0,12.0,3.4,A,-100.0
12,low,1,3.0,39.0,2.8,A,15.0
13,high,1,9.0,10.0,8.9,C,-14.9
14,none,1,4.0,5.0,9.5,A,-14.0
15,low,4,7.0,21.0,1.7,A,10.8
16,low,0,13.0,16.0,6.9,A,-7.2
17,low,3,8.0,7.0,7.3,A,-17.5
18,none,4,40.0,12.0,2.1,B,-100.0
19,low,0,3.0,4.0,1.7,A,-17.5
20,medium,1,17.0,7.0,2.5,A,-100.0
21,high,0,2.0,50.0,1.1,A,15.0
22,none,3,6.0,24.0,8.1,A,15.0
23,low,2,10.0,25.0,8.5,A,15.0
24,medium,2,20.0,24.0,1.4,A,-6.0
25,low,2,2.0,1.0,2.4,B,-100.0
26,medium,3,13.0,13.0,2.2,C,-16.5
27,low,0,4.0,3.0,2.8,B,-100.0
28,none,0,7.0,3.0,9.5,A,-100.0
29,low,1,7.0,25.0,8.8,A,15.0
30,none,1,13.0,16.0,2.7,A,-10.0
31,high,2,12.0,5.0,3.1,C,-100.0
32,low,3,5.0,31.0,6.1,A,15.0
33,medium,0,3.0,16.0,4.3,A,8.6
34,medium,1,9.0,11.0,2.0,A,-13.7
35,high,0,17.0,5.0,8.2,A,-100.0
36,medium,0,3.0,6.0,9.4,A,-9.9
37,none,2,3.0,10.0,1.2,A,-6.0
38,high,3,1.0,29.0,8.4,A,15.0
39,medium,0,12.0,21.0,8.2,C,5.3
40,low,1,6.0,50.0,5.0,A,15.0
41,medium,0,15.0,11.0,1.9,A,-100.0
42,high,1,2.0,4.0,6.3,C,-16.6
