Player_ID,Player_Type,Region_Server,Login_Count_Last_7D,Matches_Played_Last_7D,Total_Play_Minutes_Last_7D,Reward_Points_Earned_Last_7D,Friend_Invites_Sent_Last_7D,Tutorial_Completed_Flag,Avg_Load_Time_Sec_Last_7D,Crash_Count_Last_7D,Special_Event_Participation_Last_7D,Number_Of_Topup_7D
1,non-whale,EU,5,3,29,137,0,1,2.67,0,0,1
2,,NA,5,12,97,163,0,0,2.9,0,0,0
3,non-whale,,15,36,238,978,3,1,2.39,0,0,1
4,non-whale,NA,,27,139,276,0,,2.54,0,0,1
5,non-whale,SEA,3,,63,142,2,1,3.73,1,0,0
6,non-whale,SEA,3,6,,29,0,1,3.63,0,1,0
7,non-whale,SEA,2,5,61,,0,0,2.52,0,0,0
8,non-whale,EU,2,12,107,268,,1,2.78,0,0,1
9,non-whale,EU,13,29,281,426,0,,2.88,0,1,4
10,non-whale,EU,8,28,287,1173,0,1,,0,0,2
11,non-whale,SEA,6,10,84,79,0,1,2.68,,0,0
12,non-whale,SEA,6,8,165,434,0,1,3.8,0,,1
13,whale,EU,15,49,441,1240,3,1,1.87,0,1,
14,non-whale,SEA,6,5,54,53,0,1,3.06,0,,1
15,non-whale,SEA,5,7,26,67,1,0,3.93,,0,0
